Brand,Model,Price (USD),Selling Platform,Rating,Refresh Rate (Hz),Screen Size (inches),RAM (GB),Storage (GB),Processor,Camera Setup
Vivo,P Series Pro 23,1553.44,Official Store,4.8,60,7.4,8,64,Dimensity 920,108MP + 12MP + 8MP
Huawei,iPhone Max 25,1855.7,Official Store,3.6,60,5.3,6,256,Helio G99,50MP + 16MP + 8MP
Motorola,Pixel Plus 11,852.84,Amazon,4.1,120,6.4,16,256,Helio G99,200MP + 16MP + 2MP
Oppo,Mate Ultra 25,1887.01,Reliance Digital,4.1,120,5.5,8,512,Helio G99,50MP + 50MP + 5MP
Sony,Reno Pro 13,1873.9,Walmart,4.8,165,5.8,4,1024,Helio G99,12MP + 8MP + 2MP
Samsung,Redmi Note 5G 20,1871.97,Walmart,4.2,60,5.7,16,512,Snapdragon 8 Gen 2,12MP + 12MP + 5MP
Sony,Nord Ultra 24,1530.19,AliExpress,3.5,90,6.6,6,64,Helio G99,50MP + 16MP + 8MP
Huawei,Narzo Edge 14,1665.95,Flipkart,4.4,90,6.9,4,256,Helio G99,200MP + 50MP + 8MP
Google,Moto G Lite 18,916.99,Amazon,3.7,165,7.2,4,1024,Tensor G1,48MP + 8MP + 2MP
Nokia,Moto G Lite 20,452.58,Flipkart,4.9,165,6.5,8,256,Dimensity 920,108MP + 50MP + 5MP
Huawei,Mate Turbo 20,836.61,eBay,4.1,60,6.2,12,512,Dimensity 920,48MP + 8MP + 2MP
Apple,Nord Edge 25,1031.37,Flipkart,4.6,60,6.7,6,256,A16 Bionic,50MP + 50MP + 2MP
Xiaomi,Nord Lite 18,1519.29,eBay,3.6,60,7.5,16,256,Snapdragon 7 Gen 1,12MP + 16MP + 5MP
OnePlus,Moto G 5G 25,598.71,Flipkart,3.7,60,7.3,4,512,Dimensity 9000,64MP + 8MP + 8MP
Nokia,Reno SE 22,505.55,AliExpress,5.0,144,5.7,6,128,Dimensity 920,12MP + 16MP + 2MP
Samsung,Reno Turbo 12,697.14,eBay,3.9,144,6.8,4,128,Exynos 2200,64MP + 12MP + 5MP
Apple,Nord Plus 18,496.04,AliExpress,4.0,144,7.5,4,64,A16 Bionic,64MP + 8MP + 2MP
Apple,Reno 5G 18,313.87,AliExpress,3.5,144,7.3,4,512,A15 Bionic,50MP + 50MP + 5MP
Nokia,Xperia Lite 18,1226.04,Amazon,4.6,90,7.2,16,256,Dimensity 920,12MP + 16MP + 8MP
Apple,Redmi Note Max 23,1378.52,Reliance Digital,3.5,144,6.5,6,512,A15 Bionic,50MP + 12MP + 8MP
Realme,Mate Turbo 24,1319.81,Flipkart,4.7,165,6.4,4,256,Dimensity 920,48MP + 50MP + 5MP
Apple,P Series Mini 25,1670.75,Walmart,4.7,120,5.0,4,1024,A16 Bionic,48MP + 12MP + 8MP
Google,P Series Lite 23,1176.92,Amazon,3.9,165,5.2,8,512,Tensor G1,64MP + 16MP + 5MP
Xiaomi,Galaxy S Plus 15,864.69,Flipkart,4.5,144,5.8,16,512,Snapdragon 7 Gen 1,108MP + 16MP + 8MP
Motorola,Redmi Note SE 24,1511.65,Reliance Digital,4.6,120,5.7,4,512,Helio G99,50MP + 50MP + 8MP
Oppo,Galaxy S SE 10,1070.43,eBay,3.9,165,5.2,8,128,Dimensity 920,48MP + 16MP + 8MP
Xiaomi,Mate Mini 11,1580.76,Amazon,3.7,60,5.7,8,64,Dimensity 1080,200MP + 16MP + 5MP
OnePlus,iPhone Mini 15,1873.06,Reliance Digital,4.3,165,7.3,4,64,Dimensity 9000,48MP + 50MP + 2MP
Oppo,Nord Ultra 14,304.41,Reliance Digital,4.8,165,5.0,16,256,Dimensity 920,64MP + 16MP + 5MP
Samsung,iPhone Pro 14,1279.05,eBay,4.5,165,6.6,16,128,Snapdragon 8 Gen 2,48MP + 50MP + 2MP
Google,Mate Mini 19,160.34,Reliance Digital,4.4,144,5.7,4,128,Tensor G1,64MP + 8MP + 2MP
Xiaomi,Reno SE 21,1361.32,AliExpress,4.8,120,6.6,6,64,Dimensity 1080,200MP + 50MP + 2MP
Realme,Galaxy S Lite 25,1746.33,AliExpress,4.4,90,5.5,4,128,Dimensity 920,108MP + 50MP + 5MP
Xiaomi,Mate Plus 17,1997.29,Flipkart,3.8,144,5.4,6,64,Snapdragon 7 Gen 1,50MP + 8MP + 8MP
OnePlus,V Series SE 19,513.13,Official Store,3.3,144,6.0,16,256,Snapdragon 8+ Gen 1,108MP + 16MP + 8MP
Xiaomi,Reno 5G 19,968.21,Flipkart,3.9,165,7.3,8,256,Snapdragon 7 Gen 1,108MP + 50MP + 8MP
Realme,Reno Mini 25,370.53,eBay,4.1,144,5.5,6,512,Dimensity 920,200MP + 12MP + 8MP
Apple,Pixel Plus 14,1439.69,Flipkart,4.5,165,6.3,6,512,A15 Bionic,64MP + 12MP + 5MP
OnePlus,Xperia Lite 17,1618.54,Official Store,3.4,90,5.9,8,512,Dimensity 9000,50MP + 8MP + 5MP
Apple,Redmi Note Mini 11,1583.7,Amazon,4.3,144,7.1,6,1024,A16 Bionic,64MP + 16MP + 8MP
Apple,Reno Pro 25,1241.34,Best Buy,3.5,120,6.9,4,64,A15 Bionic,64MP + 16MP + 2MP
Realme,Nord Mini 21,452.05,Official Store,3.6,60,5.7,8,128,Helio G99,200MP + 50MP + 2MP
Nokia,Narzo 5G 13,675.37,AliExpress,4.2,60,5.7,6,256,Helio G99,50MP + 16MP + 5MP
Motorola,Galaxy S Pro 13,905.84,Reliance Digital,3.3,165,6.5,6,64,Helio G99,50MP + 50MP + 5MP
Samsung,Mate Plus 22,281.01,Amazon,4.4,90,6.3,6,64,Exynos 2200,50MP + 8MP + 8MP
Apple,Mate Ultra 11,168.83,Flipkart,3.5,120,5.1,16,512,A15 Bionic,12MP + 8MP + 8MP
Nokia,Xperia Mini 13,258.74,Reliance Digital,3.9,90,5.2,16,512,Helio G99,108MP + 8MP + 2MP
Vivo,Nord Mini 14,817.78,Reliance Digital,4.1,60,7.2,4,1024,Dimensity 920,64MP + 50MP + 2MP
Nokia,Redmi Note Lite 22,1833.86,Best Buy,3.9,60,5.7,8,512,Dimensity 920,108MP + 16MP + 2MP
Realme,Galaxy S SE 20,1584.31,eBay,3.6,120,5.8,8,1024,Helio G99,50MP + 12MP + 8MP
Huawei,Galaxy S Turbo 24,1797.36,Walmart,4.3,60,6.7,6,128,Helio G99,64MP + 50MP + 5MP
Nokia,Xperia Max 15,943.42,Flipkart,4.7,120,6.3,4,1024,Helio G99,200MP + 16MP + 8MP
Oppo,Pixel Plus 18,1016.64,Reliance Digital,3.5,60,7.4,8,256,Helio G99,50MP + 50MP + 8MP
Sony,Redmi Note Edge 17,199.39,Walmart,4.5,60,5.9,4,64,Dimensity 920,12MP + 16MP + 2MP
Nokia,Pixel Turbo 19,205.12,Amazon,4.1,120,5.2,4,256,Helio G99,12MP + 16MP + 8MP
Realme,Nord Edge 11,1947.56,eBay,3.8,60,6.2,12,64,Helio G99,50MP + 16MP + 2MP
Huawei,Pixel Turbo 12,703.84,Amazon,3.8,120,7.1,8,256,Dimensity 920,108MP + 16MP + 5MP
Nokia,Moto G Plus 16,965.51,Amazon,4.7,144,5.5,12,128,Dimensity 920,48MP + 50MP + 2MP
Xiaomi,Mate 5G 20,1341.02,Reliance Digital,3.8,90,7.2,6,1024,Snapdragon 7 Gen 1,108MP + 8MP + 2MP
Google,Reno Mini 21,604.13,Walmart,3.4,60,6.4,16,64,Tensor G1,108MP + 12MP + 5MP
Vivo,iPhone Pro 11,1629.14,Walmart,3.5,120,5.7,16,512,Helio G99,48MP + 8MP + 5MP
Motorola,iPhone SE 14,177.3,AliExpress,3.1,165,6.3,8,64,Helio G99,50MP + 16MP + 2MP
Nokia,Narzo SE 15,800.5,Official Store,3.9,120,6.0,4,512,Dimensity 920,48MP + 50MP + 8MP
Xiaomi,Reno Edge 17,393.91,Amazon,4.0,120,5.3,16,128,Dimensity 1080,108MP + 16MP + 2MP
Nokia,V Series Turbo 23,244.95,Walmart,3.7,144,6.6,12,128,Helio G99,108MP + 12MP + 2MP
OnePlus,V Series Plus 17,208.38,Best Buy,4.8,120,7.5,16,128,Snapdragon 8+ Gen 1,48MP + 8MP + 8MP
Motorola,Galaxy S Max 11,973.02,Amazon,4.0,60,7.4,12,256,Helio G99,50MP + 16MP + 5MP
OnePlus,Mate Edge 12,757.37,Best Buy,3.3,60,6.5,6,256,Dimensity 9000,48MP + 12MP + 5MP
Realme,Pixel Max 25,1366.6,AliExpress,3.8,144,7.0,4,256,Dimensity 920,48MP + 8MP + 2MP
Nokia,Galaxy S Max 22,1669.78,Official Store,4.9,144,7.4,4,1024,Dimensity 920,64MP + 8MP + 8MP
Realme,Pixel Plus 17,235.83,Reliance Digital,3.7,90,6.4,6,128,Dimensity 920,64MP + 12MP + 2MP
Motorola,Narzo Plus 12,1241.63,Reliance Digital,3.1,120,5.5,8,512,Helio G99,12MP + 50MP + 5MP
Vivo,Xperia Pro 18,1370.53,Best Buy,4.7,144,5.5,8,1024,Helio G99,64MP + 12MP + 2MP
Realme,Reno Max 19,808.01,AliExpress,4.9,90,5.7,12,256,Dimensity 920,48MP + 50MP + 5MP
Vivo,V Series Turbo 10,638.44,Best Buy,3.1,120,5.1,12,64,Helio G99,200MP + 16MP + 2MP
Huawei,Moto G Ultra 25,1507.33,Official Store,3.8,144,7.2,16,128,Helio G99,50MP + 8MP + 5MP
Huawei,Xperia Pro 25,310.32,Reliance Digital,3.4,90,5.3,12,512,Helio G99,48MP + 16MP + 2MP
Samsung,P Series Turbo 17,1875.91,Reliance Digital,4.2,120,6.8,16,1024,Exynos 2200,108MP + 50MP + 5MP
OnePlus,V Series SE 13,511.75,eBay,4.2,165,6.8,4,256,Snapdragon 8+ Gen 1,64MP + 50MP + 8MP
OnePlus,Reno Max 14,1826.2,Walmart,3.5,144,5.6,12,256,Snapdragon 8+ Gen 1,200MP + 16MP + 2MP
Samsung,Pixel 5G 14,1710.58,Flipkart,4.0,120,5.2,8,64,Exynos 2200,200MP + 50MP + 2MP
Xiaomi,Narzo Max 15,1787.41,Official Store,4.5,120,7.2,6,256,Dimensity 1080,200MP + 12MP + 2MP
Sony,Xperia Lite 12,717.74,Best Buy,4.7,144,5.5,4,128,Helio G99,64MP + 16MP + 8MP
Nokia,Redmi Note Lite 24,1674.28,eBay,4.4,90,6.9,8,256,Dimensity 920,64MP + 16MP + 5MP
Samsung,Pixel SE 17,426.5,AliExpress,3.5,120,6.8,16,128,Exynos 2200,200MP + 16MP + 2MP
Apple,Mate Ultra 18,532.12,Reliance Digital,4.8,120,5.7,16,128,A15 Bionic,200MP + 50MP + 8MP
Xiaomi,Nord 5G 16,1521.57,Walmart,3.3,120,6.2,4,64,Dimensity 1080,50MP + 16MP + 8MP
Nokia,iPhone Max 15,345.48,Best Buy,3.7,120,6.5,8,512,Helio G99,50MP + 50MP + 2MP
Huawei,V Series 5G 14,389.71,Official Store,3.9,90,6.4,6,64,Dimensity 920,50MP + 16MP + 8MP
Samsung,Narzo Turbo 25,1209.77,Best Buy,3.7,60,6.1,8,64,Snapdragon 8 Gen 2,64MP + 16MP + 2MP
Samsung,Pixel Lite 12,1983.75,Amazon,4.1,144,6.6,8,128,Exynos 2200,108MP + 8MP + 8MP
Realme,Redmi Note Turbo 19,211.38,Reliance Digital,3.2,144,7.4,6,256,Helio G99,50MP + 8MP + 5MP
Xiaomi,Reno Ultra 10,1667.89,Best Buy,3.9,90,7.5,6,1024,Snapdragon 7 Gen 1,200MP + 8MP + 2MP
Huawei,Nord Pro 16,1463.59,Flipkart,3.3,144,5.8,16,64,Helio G99,64MP + 12MP + 5MP
OnePlus,Redmi Note Turbo 23,585.12,Flipkart,4.4,165,5.4,16,1024,Dimensity 9000,48MP + 16MP + 5MP
Motorola,V Series Max 11,1589.14,eBay,3.1,144,7.4,4,1024,Helio G99,108MP + 16MP + 2MP
Realme,Reno Mini 13,639.01,Walmart,3.8,60,5.9,8,64,Dimensity 920,50MP + 16MP + 8MP
Realme,iPhone Lite 22,1473.58,Best Buy,4.4,165,7.0,4,1024,Helio G99,64MP + 12MP + 2MP
Xiaomi,Xperia Lite 16,1310.35,Walmart,3.8,165,7.0,12,1024,Snapdragon 7 Gen 1,12MP + 12MP + 5MP
Realme,iPhone Turbo 21,1797.97,AliExpress,4.6,60,5.4,6,1024,Helio G99,64MP + 16MP + 5MP
Oppo,iPhone SE 25,1985.54,Reliance Digital,4.4,60,7.0,12,256,Helio G99,64MP + 50MP + 2MP
Huawei,Mate Max 20,1731.03,Walmart,3.5,120,7.4,6,1024,Helio G99,64MP + 8MP + 5MP
Apple,Redmi Note Max 19,249.07,eBay,4.4,165,6.3,8,64,A15 Bionic,200MP + 8MP + 8MP
Oppo,Nord Ultra 23,1476.59,Flipkart,3.7,60,5.0,8,1024,Helio G99,48MP + 8MP + 2MP
Realme,Nord Pro 25,1337.34,Official Store,4.1,60,7.0,16,1024,Helio G99,48MP + 12MP + 2MP
Google,Galaxy S Mini 19,518.6,Walmart,4.7,120,6.3,4,1024,Tensor G2,108MP + 8MP + 8MP
Apple,Nord Max 19,1121.85,eBay,4.5,165,6.0,4,128,A16 Bionic,200MP + 50MP + 2MP
Realme,Nord SE 24,1527.62,AliExpress,4.3,60,7.3,16,128,Helio G99,50MP + 12MP + 5MP
Sony,Mate Edge 18,1834.74,Best Buy,3.2,120,7.4,8,512,Dimensity 920,200MP + 16MP + 2MP
Huawei,iPhone Edge 24,1779.08,Official Store,4.4,120,5.6,12,1024,Helio G99,12MP + 8MP + 5MP
Motorola,iPhone Ultra 22,262.12,Official Store,3.6,90,7.3,6,1024,Dimensity 920,64MP + 50MP + 5MP
Xiaomi,P Series Ultra 15,1869.95,Walmart,3.2,165,6.1,6,256,Dimensity 1080,64MP + 50MP + 5MP
Apple,V Series SE 16,906.87,AliExpress,3.6,60,5.5,16,256,A15 Bionic,200MP + 8MP + 5MP
Vivo,Reno Max 21,471.71,Flipkart,4.9,165,7.2,16,128,Dimensity 920,64MP + 12MP + 2MP
Oppo,Mate Ultra 25,964.0,AliExpress,3.7,165,7.2,16,512,Dimensity 920,64MP + 8MP + 5MP
Apple,Galaxy S Ultra 11,710.19,Walmart,3.5,90,6.6,16,1024,A16 Bionic,64MP + 12MP + 5MP
Nokia,Moto G 5G 17,582.86,Flipkart,4.5,120,5.8,8,128,Dimensity 920,48MP + 8MP + 5MP
Oppo,Xperia Lite 15,1079.84,Flipkart,4.0,165,7.4,4,256,Dimensity 920,12MP + 50MP + 8MP
Apple,V Series 5G 12,1751.29,Walmart,4.3,120,5.1,8,128,A15 Bionic,50MP + 12MP + 2MP
Realme,Redmi Note SE 11,905.83,Flipkart,3.3,90,7.0,8,128,Dimensity 920,200MP + 16MP + 8MP
OnePlus,Redmi Note Plus 21,1996.83,Walmart,3.9,165,5.8,6,128,Dimensity 9000,50MP + 16MP + 2MP
Oppo,iPhone Turbo 13,1387.59,Best Buy,3.1,60,6.2,16,512,Helio G99,200MP + 8MP + 2MP
Motorola,Moto G 5G 18,1779.24,eBay,3.6,165,7.2,8,128,Dimensity 920,48MP + 16MP + 5MP
Sony,iPhone Edge 23,722.16,Walmart,3.7,60,6.4,8,256,Helio G99,64MP + 50MP + 8MP
Realme,Galaxy S Turbo 15,1413.31,eBay,4.2,165,5.8,12,256,Dimensity 920,12MP + 8MP + 8MP
Xiaomi,Redmi Note Mini 25,848.09,Official Store,3.3,60,7.4,12,256,Snapdragon 7 Gen 1,200MP + 50MP + 2MP
Huawei,Xperia Pro 24,1628.15,Official Store,3.1,144,6.7,4,1024,Helio G99,48MP + 8MP + 5MP
Google,P Series Turbo 13,1548.42,AliExpress,4.3,120,6.2,16,128,Tensor G2,50MP + 8MP + 2MP
Google,Galaxy S SE 16,1615.1,Reliance Digital,5.0,90,7.3,16,64,Tensor G2,64MP + 50MP + 2MP
OnePlus,iPhone Turbo 17,1841.88,Walmart,3.6,90,7.1,16,128,Snapdragon 8+ Gen 1,12MP + 8MP + 5MP
Motorola,Xperia Pro 18,212.23,Flipkart,4.2,144,7.1,16,1024,Dimensity 920,64MP + 12MP + 8MP
Xiaomi,Reno 5G 17,1791.43,Walmart,3.9,120,7.1,8,256,Snapdragon 7 Gen 1,108MP + 12MP + 2MP
Apple,Narzo Mini 15,320.06,Official Store,4.9,60,5.5,12,512,A16 Bionic,50MP + 8MP + 5MP
Samsung,Nord SE 15,1064.69,AliExpress,3.3,165,7.1,8,128,Exynos 2200,200MP + 8MP + 2MP
Nokia,iPhone Mini 22,566.39,Official Store,4.1,165,6.3,4,128,Dimensity 920,50MP + 16MP + 2MP
Realme,Nord Turbo 15,394.98,Reliance Digital,3.9,120,6.7,12,512,Dimensity 920,200MP + 16MP + 8MP
Sony,Pixel Ultra 22,743.86,Reliance Digital,4.8,120,7.4,4,1024,Helio G99,48MP + 12MP + 5MP
Huawei,Redmi Note Lite 21,478.4,Official Store,4.4,60,6.2,6,512,Helio G99,50MP + 50MP + 5MP
Samsung,Reno Lite 10,1114.83,Flipkart,3.3,165,5.6,8,256,Exynos 2200,108MP + 50MP + 8MP
Google,Nord Turbo 17,219.81,eBay,4.5,90,7.4,6,256,Tensor G2,50MP + 50MP + 2MP
Apple,P Series SE 11,1556.26,Reliance Digital,4.4,120,5.0,6,1024,A15 Bionic,108MP + 50MP + 8MP
Sony,Xperia Mini 17,859.12,Best Buy,4.0,144,5.1,6,64,Helio G99,200MP + 12MP + 8MP
OnePlus,Galaxy S 5G 15,966.88,Official Store,4.8,165,6.0,12,64,Dimensity 9000,108MP + 12MP + 2MP
Vivo,P Series Plus 10,1432.15,eBay,4.4,60,6.5,6,64,Helio G99,108MP + 12MP + 8MP
OnePlus,Redmi Note Max 14,555.27,Best Buy,3.2,165,6.8,4,512,Dimensity 9000,108MP + 8MP + 2MP
Apple,Mate Max 18,151.93,eBay,3.3,144,6.9,4,1024,A16 Bionic,12MP + 8MP + 8MP
Vivo,Moto G Plus 11,843.73,Flipkart,3.3,60,7.2,4,256,Helio G99,50MP + 8MP + 8MP
Realme,Mate 5G 10,946.6,AliExpress,4.0,120,6.0,4,128,Dimensity 920,108MP + 16MP + 5MP
Xiaomi,iPhone Pro 14,1908.01,Best Buy,3.6,90,6.5,4,512,Snapdragon 7 Gen 1,64MP + 50MP + 2MP
Motorola,Narzo Edge 16,455.93,Walmart,4.9,60,6.2,4,256,Dimensity 920,50MP + 16MP + 2MP
Oppo,Mate Turbo 10,849.31,eBay,4.2,165,6.7,16,1024,Dimensity 920,50MP + 8MP + 8MP
Motorola,Reno SE 23,1130.38,Official Store,4.2,60,6.0,8,256,Helio G99,108MP + 12MP + 2MP
Vivo,Nord Plus 19,1590.65,Amazon,5.0,60,6.4,6,1024,Helio G99,48MP + 16MP + 2MP
Nokia,Pixel Plus 23,688.72,eBay,4.3,60,6.2,16,64,Dimensity 920,50MP + 12MP + 5MP
Nokia,Pixel Edge 22,1806.71,AliExpress,4.5,120,5.2,16,64,Helio G99,200MP + 12MP + 8MP
Google,Mate Ultra 16,673.28,Walmart,5.0,60,7.2,4,256,Tensor G1,50MP + 50MP + 5MP
Oppo,iPhone Ultra 21,1333.25,Official Store,4.4,60,6.3,12,64,Dimensity 920,108MP + 50MP + 5MP
Samsung,Moto G Ultra 25,763.76,Amazon,3.6,90,5.7,8,1024,Exynos 2200,64MP + 50MP + 2MP
Motorola,Pixel Turbo 11,298.99,Best Buy,4.4,144,6.4,6,1024,Dimensity 920,200MP + 8MP + 5MP
Google,Xperia Pro 11,1785.19,Official Store,4.4,120,6.1,16,1024,Tensor G1,50MP + 16MP + 2MP
Sony,Galaxy S Plus 17,1235.11,Amazon,4.0,165,5.8,4,1024,Dimensity 920,12MP + 12MP + 8MP
Sony,Narzo Ultra 24,243.52,AliExpress,3.1,60,6.3,16,256,Dimensity 920,50MP + 16MP + 8MP
Samsung,Reno Plus 22,1044.28,Flipkart,3.2,165,5.3,8,256,Snapdragon 8 Gen 2,64MP + 12MP + 8MP
Sony,Xperia Pro 16,979.45,Reliance Digital,3.4,144,7.1,16,128,Helio G99,48MP + 8MP + 8MP
Huawei,Nord Ultra 12,1380.71,Official Store,3.1,144,5.8,6,64,Helio G99,64MP + 16MP + 8MP
Oppo,Redmi Note Edge 13,374.51,Walmart,3.8,120,5.8,4,512,Dimensity 920,12MP + 50MP + 8MP
Oppo,P Series Pro 17,1494.81,Amazon,3.0,60,5.3,6,1024,Helio G99,12MP + 8MP + 2MP
Nokia,V Series Lite 12,1884.59,Official Store,3.3,165,6.7,4,128,Dimensity 920,64MP + 8MP + 5MP
Sony,Redmi Note Turbo 24,760.09,eBay,3.9,144,7.1,16,64,Dimensity 920,12MP + 50MP + 5MP
Motorola,Galaxy S Plus 11,971.53,Walmart,3.8,120,6.0,4,64,Dimensity 920,12MP + 50MP + 2MP
Sony,Reno Plus 11,1566.69,eBay,3.4,120,6.1,8,64,Helio G99,12MP + 12MP + 5MP
Realme,Mate Pro 21,202.14,Official Store,3.6,90,6.1,16,256,Dimensity 920,50MP + 12MP + 2MP
Sony,Pixel Edge 13,1000.59,Official Store,3.7,165,5.4,8,64,Dimensity 920,64MP + 12MP + 5MP
Samsung,Xperia Max 23,433.94,Flipkart,3.1,144,5.1,6,512,Snapdragon 8 Gen 2,48MP + 12MP + 5MP
Xiaomi,P Series Turbo 24,301.95,AliExpress,3.5,90,6.1,8,256,Dimensity 1080,64MP + 50MP + 5MP
Realme,Nord Edge 20,1091.54,Official Store,3.0,165,7.1,6,64,Dimensity 920,48MP + 12MP + 5MP
Sony,Nord Ultra 12,691.64,Walmart,4.2,120,6.8,16,128,Helio G99,50MP + 50MP + 8MP
